REGION,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Philippines,114,123,135,128,132,131,127,162,153,175
National Capital Region (NCR),23,20,23,21,22,22,18,26,21,16
Cordillera Administrative Region (CAR),0,0,0,2,2,2,1,3,2,2
Region I (Ilocos),5,3,3,3,3,1,2,2,2,4
Region II (Cagayan Valley),0,0,0,0,0,0,0,1,1,0
Region III (Central Luzon),28,31,32,36,33,38,40,50,51,59
Region IV-A (CALABARZON),36,38,42,34,40,37,37,42,44,46
Region IV-B (MIMAROPA),0,1,0,1,0,1,1,1,0,1
Region V (Bicol),1,0,1,2,3,0,1,1,1,3
Region VI (Western Visayas),1,1,1,2,1,2,4,2,2,6
Region VII (Central Visayas),6,13,11,11,8,10,9,10,9,10
Region VIII (Eastern Visayas),1,2,2,2,0,1,2,3,2,3
Region IX (Zamboanga Peninsula),0,0,0,0,0,0,0,0,1,2
Region X (Northern Mindanao),4,6,7,5,7,4,6,9,7,9
Region XI (Davao),9,6,10,7,11,11,4,11,6,8
Region XII (SOCCSKSARGEN),0,2,3,2,2,1,1,1,3,6
Region XIII (Caraga),0,0,0,0,0,1,1,0,1,0
BARMM (Bangsamoro Autonomous Region in Muslim Mindanao),0,0,0,0,0,0,0,0,0,0
